objectid,date,title,meeting_type,document_type,location,format
04-12-16-planning_board_meeting-minutes,04/12/16,Planning Board Meeting - 04/12/16,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
04-11-16-city_council_workshop-agenda,04/11/16,City Council Workshop - 04/11/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-04-16-city_council_meeting-agenda,04/04/16,City Council Meeting - 04/04/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-04-16-city_council_meeting-minutes,04/04/16,City Council Meeting - 04/04/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-28-16-city_council_workshop-agenda,03/28/16,City Council Workshop - 03/28/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-21-16-city_council_meeting-agenda,03/21/16,City Council Meeting - 03/21/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-21-16-city_council_meeting-minutes,03/21/16,City Council Meeting - 03/21/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-14-16-city_council_workshop-agenda,03/14/16,City Council Workshop - 03/14/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-08-16-planning_board_meeting-agenda,03/08/16,Planning Board Meeting - 03/08/16,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
03-08-16-planning_board_meeting-minutes,03/08/16,Planning Board Meeting - 03/08/16,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
03-07-16-city_council_meeting-agenda,03/07/16,City Council Meeting - 03/07/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-07-16-city_council_meeting-minutes,03/07/16,City Council Meeting - 03/07/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
02-29-16-city_council_workshop-agenda,02/29/16,City Council Workshop - 02/29/16,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
02-16-16-city_council_meeting-agenda,02/16/16,City Council Meeting - 02/16/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY 12508",application/pdf
02-16-16-city_council_meeting-minutes,02/16/16,City Council Meeting - 02/16/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY 12508",application/pdf
02-09-16-planning_board_meeting-agenda,02/09/16,Planning Board Meeting - 02/09/16,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
02-09-16-planning_board_meeting-minutes,02/09/16,Planning Board Meeting - 02/09/16,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
02-08-16-city_council_workshop-agenda,02/08/16,City Council Workshop - 02/08/16,City Council Workshop,Agenda PDF,One Muncipal Plaza,application/pdf
02-01-16-city_council_meeting-agenda,02/01/16,City Council Meeting - 02/01/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-25-16-city_council_workshop-agenda,01/25/16,City Council Workshop - 01/25/16,City Council Workshop,Agenda PDF,One Muncipal Plaza,application/pdf
01-19-16-city_council_meeting-agenda,01/19/16,City Council Meeting - 01/19/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-19-16-city_council_meeting-minutes,01/19/16,City Council Meeting - 01/19/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-12-16-planning_board_meeting-agenda,01/12/16,Planning Board Meeting - 01/12/16,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
01-12-16-planning_board_meeting-minutes,01/12/16,Planning Board Meeting - 01/12/16,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
01-11-16-city_council_workshop-agenda,01/11/16,City Council Workshop - 01/11/16,City Council Workshop,Agenda PDF,One Muncipal Plaza,application/pdf
01-04-16-city_council_meeting-agenda,01/04/16,City Council Meeting - 01/04/16,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-04-16-city_council_meeting-minutes,01/04/16,City Council Meeting - 01/04/16,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
01-04-16-city_council_workshop-agenda,01/04/16,City Council Workshop - 01/04/16,City Council Workshop,Agenda PDF,One Municipal Plaza,application/pdf
