objectid,date,title,meeting_type,document_type,location,format
07-09-19-planning_board_meeting-agenda,07/09/19,Planning Board Meeting - 07/09/19,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
07-09-19-planning_board_meeting-minutes,07/09/19,Planning Board Meeting - 07/09/19,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
07-08-19-city_council_workshop-agenda,07/08/19,City Council Workshop - 07/08/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-01-19-city_council_meeting-agenda,07/01/19,City Council Meeting - 07/01/19,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
07-01-19-city_council_meeting-minutes,07/01/19,City Council Meeting - 07/01/19,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-24-19-city_council_workshop-agenda,06/24/19,City Council Workshop - 06/24/19,City Council Workshop,Agenda PDF, ,application/pdf
06-17-19-city_council_meeting-agenda,06/17/19,City Council Meeting - 06/17/19,City Council Meeting,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
06-17-19-city_council_meeting-minutes,06/17/19,City Council Meeting - 06/17/19,City Council Meeting,Minutes PDF,1 Municipal Plaza - Courtroom,application/pdf
06-11-19-planning_board_meeting-agenda,06/11/19,Planning Board Meeting - 06/11/19,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
06-11-19-planning_board_meeting-minutes,06/11/19,Planning Board Meeting - 06/11/19,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
06-10-19-city_council_workshop-agenda,06/10/19,City Council Workshop - 06/10/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-03-19-city_council_meeting-agenda,06/03/19,City Council Meeting - 06/03/19,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
06-03-19-city_council_meeting-minutes,06/03/19,City Council Meeting - 06/03/19,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-28-19-city_council_workshop-agenda,05/28/19,City Council Workshop - 05/28/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-28-19-traffic_safety_meeting-agenda,05/28/19,Traffic Safety Meeting - 05/28/19,Traffic Safety Meeting,Agenda PDF,City Hall Conference Room: 1 Municipal P...,application/pdf
05-21-19-zoning_board_of_appeals_meeting-agenda,05/21/19,Zoning Board of Appeals Meeting - 05/21/19,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
05-21-19-zoning_board_of_appeals_meeting-minutes,05/21/19,Zoning Board of Appeals Meeting - 05/21/19,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
05-20-19-city_council_meeting-agenda,05/20/19,City Council Meeting - 05/20/19,City Council Meeting,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
05-14-19-planning_board_meeting-agenda,05/14/19,Planning Board Meeting - 05/14/19,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
05-14-19-planning_board_meeting-minutes,05/14/19,Planning Board Meeting - 05/14/19,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
05-13-19-city_council_workshop-agenda,05/13/19,City Council Workshop - 05/13/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-06-19-city_council_meeting-agenda,05/06/19,City Council Meeting - 05/06/19,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
05-06-19-city_council_meeting-minutes,05/06/19,City Council Meeting - 05/06/19,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-29-19-city_council_workshop-agenda,04/29/19,City Council Workshop - 04/29/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
